group,metric,n,mean,std,min,max
adult_semantic,classifier_test_acc,3,77.7833,1.8405,76.01,80.32
adult_semantic,classifier_test_f1,3,62.5833,9.325,49.44,70.09
adult_semantic,classifier_test_auc,3,80.9,2.8405,77.33,84.28
adult_semantic,wsd_1way,3,0.0718,0.0259,0.05,0.1081
adult_semantic,wsd_2way,3,0.1388,0.0517,0.095,0.2114
adult_semantic,wsd_3way,3,0.2049,0.0777,0.1389,0.3139
adult_semantic,runtime_seconds,3,3050.5633,23.18,3019.92,3075.97
adult_semantic,education_inconsistency_rate,3,0.5023,0.0721,0.4075,0.5823
adult_semantic,capital-gain_pos_ratio_abs_diff,3,0.5194,0.0122,0.5026,0.5311
adult_semantic,capital-loss_pos_ratio_abs_diff,3,0.5349,0.0161,0.5147,0.5542
official,classifier_test_acc,3,79.8933,0.5791,79.28,80.67
official,classifier_test_f1,3,70.5767,1.1786,68.91,71.43
official,classifier_test_auc,3,83.33,0.8573,82.58,84.53
official,wsd_1way,3,0.0292,0.0025,0.0267,0.0327
official,wsd_2way,3,0.0517,0.004,0.0472,0.0569
official,wsd_3way,3,0.0743,0.0055,0.0675,0.0811
official,runtime_seconds,3,2903.1933,21.2186,2879.62,2931.06
official,education_inconsistency_rate,3,0.5493,0.044,0.4943,0.602
official,capital-gain_pos_ratio_abs_diff,3,0.7597,0.0118,0.7433,0.7708
official,capital-loss_pos_ratio_abs_diff,3,0.8046,0.0116,0.7922,0.8202
public_fe,classifier_test_acc,3,78.6067,0.811,77.72,79.68
public_fe,classifier_test_f1,3,63.2833,7.682,54.44,73.17
public_fe,classifier_test_auc,3,80.1967,4.2647,74.51,84.78
public_fe,wsd_1way,3,0.084,0.0159,0.0617,0.0977
public_fe,wsd_2way,3,0.1579,0.0297,0.1164,0.1838
public_fe,wsd_3way,3,0.2286,0.0421,0.1696,0.2658
public_fe,runtime_seconds,3,3105.9967,46.5772,3042.41,3152.68
public_fe,education_inconsistency_rate,3,0.9423,0.0126,0.9297,0.9595
public_fe,capital-gain_pos_ratio_abs_diff,3,0.5235,0.0069,0.5143,0.5311
public_fe,capital-loss_pos_ratio_abs_diff,3,0.5723,0.0087,0.5637,0.5842
robust_numeric,classifier_test_acc,3,81.0133,1.3025,79.21,82.24
robust_numeric,classifier_test_f1,3,71.1867,0.5361,70.45,71.71
robust_numeric,classifier_test_auc,3,84.6067,1.3377,82.72,85.67
robust_numeric,wsd_1way,3,0.07,0.0236,0.043,0.1005
robust_numeric,wsd_2way,3,0.135,0.0469,0.0812,0.1955
robust_numeric,wsd_3way,3,0.1996,0.0696,0.1198,0.2893
robust_numeric,runtime_seconds,3,3007.7433,29.8625,2981.29,3049.48
robust_numeric,education_inconsistency_rate,3,0.7113,0.0237,0.68,0.7372
robust_numeric,capital-gain_pos_ratio_abs_diff,3,0.4982,0.0081,0.4916,0.5096
robust_numeric,capital-loss_pos_ratio_abs_diff,3,0.521,0.0163,0.4992,0.5384
