iteration,test_acc,test_f1,wsd_1way,wsd_2way,wsd_3way
0,75.77,43.11,0.30031446,0.49965766,0.66105304
5,78.78,71.82,0.12631617,0.22453709,0.31205906
6,78.09,72.09,0.13465767,0.23566403,0.32425261
7,75.21,70.52,0.13735271,0.23942009,0.32837043
8,76.65,72.06,0.13614258,0.23662012,0.32426237
9,77.1,72.04,0.13011901,0.2261764,0.31039031
10,76.71,72.03,0.12211358,0.21296426,0.29327485
11,76.25,71.31,0.11859648,0.20641849,0.28416098
12,76.36,71.27,0.11024378,0.19359764,0.2683066
13,76.55,71.55,0.10251142,0.18138098,0.25288351
14,75.15,70.63,0.09685982,0.17286558,0.24242993
15,76.11,71.81,0.09679135,0.17330421,0.24355116
16,74.3,70.26,0.09172128,0.16483487,0.23223839
17,76.34,72.21,0.08273397,0.15010214,0.21293875
18,77.79,72.93,0.08300346,0.15083742,0.21425503
19,78.74,72.49,0.07661265,0.14117833,0.20233618
20,79.13,73.11,0.07681461,0.14137894,0.20249501
21,79.54,71.61,0.07584563,0.13921592,0.19941807
22,78.75,72.02,0.07097354,0.13187682,0.19044651
23,79.45,72.99,0.06973409,0.12849973,0.18495706
24,79.61,72.56,0.06765738,0.12627482,0.18266642
25,79.8,73.44,0.06385569,0.11996375,0.17438198
26,79.28,72.74,0.05948908,0.11388575,0.16753831
27,79.4,72.32,0.05868327,0.11251384,0.16544527
28,80.39,72.23,0.05875553,0.1140793,0.16852557
29,80.32,70.09,0.05716024,0.10990233,0.16180932
